#BOF|2022.08.06|22:30:03
#SYM|CUR|NAME|CON|ISIN|REBATERATE|FEERATE|AVAILABLE|
CLM|USD|CORNERSTONE STRATEGIC VALUE|177437740|XXXXXXXB3024|-45.0390|47.3590|1500000|
CLMT|USD|CALUMET SPECIALTY PRODUCTS|37804764|XXXXXXX61032|-0.2613|2.5813|2400000|
CLNE|USD|CLEAN ENERGY FUELS CORP|44465608|XXXXXXX91018|2.0700|0.2500|5300000|
CLNN|USD|CLENE INC|463104659|XXXXXXX41029|-100.9571|103.2771|150000|
CLNO|USD|EQCO2 INC|132220700|XXXXXXXY1010|2.0200|0.3000|1100000|
CLNV|USD|CLEAN VISION CORP|483652556|XXXXXXXW1045|-2.7012|5.0212|6700000|
CLOE|USD|CLOVER LEAF CAPITAL CORP -A|513290679|XXXXXXXE1055|1.1000|1.2200|95000|
CLOEU|USD|CLOVER LEAF CAPITAL CORP|503836760|XXXXXXXE2046|1.1000|1.2200|10000|
CLOQ|USD|CYBERLOQ TECHNOLOGIES INC|397706948|XXXXXXXK1088|2.0200|0.3000|200000|
CLOU|USD|GLOBAL X CLOUD COMPUTING ETF|360975905|XXXXXXXY4420|-2.3848|4.7048|950000|
CLOV|USD|CLOVER HEALTH INVESTMENTS CO|464040647|XXXXXXXF1030|1.0427|1.2773|7900000|
CLPBY|USD|COLOPLAST A-S-SPONSORED ADR|420568939|XXXXXXXY2000|-3.0089|5.3289|60000|
CLPHY|USD|CLP HOLDINGS LTD-SPONS ADR|44558760|XXXXXXXQ1013|-7.9066|10.2266|25000|
CLPR|USD|CLIPPER REALTY INC|265109878|XXXXXXXT3068|1.8940|0.4260|700000|
CLPS|USD|CLPS INC|319099408|KYG316421042|-20.2237|22.5437|350000|
CLPT|USD|CLEARPOINT NEURO INC|403519527|XXXXXXXC1036|0.7952|1.5248|900000|
CLPXY|USD|CHINA LONGYUAN POWER-ADR|74803533|XXXXXXXR1095|2.0700|0.2500|700|
CLR|USD|CONTINENTAL RESOURCES INC-OK|44061835|XXXXXXX51012|1.9740|0.3460|550000|
CLRB|USD|CELLECTAR BIOSCIENCES INC|575436611|XXXXXXXF8077|-7.8146|10.1346|100000|
CLRC|USD|CLIMATEROCK - CLASS A|565398418|KYG2311X1007|1.1000|1.2200|30000|
CLRCU|USD|CLIMATEROCK|558207307|KYG2311X1262|-39.7638|42.0838|2000|
CLRD|USD|CLEARDAY INC|513290539|XXXXXXX11013|-3.3646|5.6846|25000|
CLRH|USD|CLEAR-LITE HOLDINGS INC|61499504|XXXXXXXT1043|2.0700|0.2500|4800000|
CLRI|USD|CLEARTRONIC INC|119743142|XXXXXXXP2048|2.0200|0.3000|40000|
CLRM|USD|CLARIM ACQUISITION CORP-CL A|478106635|XXXXXXXC1080|0.3815|1.9385|60000|
CLRMF|USD|CLEAN AIR METALS INC|423932752|CA18452Y1007|-27.4014|29.7214|150000|
CLRMU|USD|CLARIM ACQUISITION CORP|468533630|XXXXXXXC2070|0.6994|1.6206|35000|
CLRO|USD|CLEARONE INC|118804555|XXXXXXXU1043|-8.7270|11.0470|350000|
CLRYF|USD|CLAROCITY CORPORATION|252417807|CA1826881015|2.0700|0.2500|600000|
CLS|USD|CELESTICA INC|6477672|CA15101Q1081|1.9087|0.4113|500000|
CLSA|USD|CABANA TARGET LEADING SECTOR|502056025|XXXXXXXE6169|-0.8969|3.2169|25000|
CLSC|USD|CABANA TARGET LEADING SECTOR|502056028|XXXXXXXE6326|-1.4115|3.7315|100000|
CLSD|USD|CLEARSIDE BIOMEDICAL INC|234845742|XXXXXXX31045|1.9254|0.3946|1100000|
CLSE|USD|CONVERGENCE LONG-SHORT EQY|546346956|XXXXXXXG7604|0.0770|2.2430|6000|
CLSH|USD|CLS HOLDINGS USA INC|198209258|XXXXXXXJ1007|-0.0793|2.3993|1000000|
CLSK|USD|CLEANSPARK INC|395179962|XXXXXXXB2097|-0.2219|2.5419|600000|
CLSM|USD|CABANA TARGET LEADING SECTOR|502056032|XXXXXXXE6243|-1.1398|3.4598|7000|
CLSN|USD|CELSION CORP|547609297|XXXXXXXN6022|0.6715|1.6485|150000|
CLST|USD|CATALYST BANCORP INC|519909140|XXXXXXXL1017|0.1056|2.2144|100000|
CLST1|USD|CELSIA TECHNOLOGIES INC|57501945|XXXXXXXM2070|2.0700|0.2500|250000|
CLTH|USD|CLEAN TECH BIOFUELS INC|48844503|XXXXXXXW1062|2.0200|0.3000|100000|
CLTL|USD|INVESCO TREASURY COLLATERAL|319359499|XXXXXXXG8886|-4.6053|6.9253|25000|
CLTS|USD|EARTH LIFE SCIENCES INC|196612794|XXXXXXXP2083|2.0200|0.3000|1600000|
CLVFA|USD|CLOVERLEAF KENNEL CLUB -CL A|75219198|XXXXXXX41074|2.0700|0.2500|100|
CLVLY|USD|CLINUVEL PHARMACUTIC-SP ADR|43165005|XXXXXXX91038|2.0700|0.2500|10000|
CLVR|USD|CLEVER LEAVES HOLDINGS INC|461300802|CA1867601041|-24.2608|26.5808|950000|
CLVS|USD|CLOVIS ONCOLOGY INC|97497210|XXXXXXX41000|-15.2899|17.6099|2000000|
CLVT|USD|CLARIVATE PLC|365792551|JE00BJJN4441|2.0320|0.2880|7000000|
CLVT PRA|USD|CLARIVATE PLC|496419445|JE00BM91P354|0.6273|1.6927|1100000|
CLW|USD|CLEARWATER PAPER CORP|56381497|XXXXXXXR1032|1.9703|0.3497|1400000|
CLWT|USD|EURO TECH HOLDINGS CO LTD|100296028|VGG320301275|-2.4940|4.8140|200000|
CLWY|USD|CALLOWAY'S NURSERY INC|4728179|XXXXXXX51013|0.4403|1.8797|20000|
CLX|USD|CLOROX COMPANY|5794|XXXXXXX41097|2.0678|0.2522|2100000|
CLXM|USD|CLX MEDICAL INC|57868104|XXXXXXX94006|2.0700|0.2500|1500000|
CLXS|USD|COLLEXIS HOLDINGS INC|44989719|XXXXXXXP1066|2.0700|0.2500|20000|
CLXT|USD|CALYXT INC|282854877|XXXXXXXL1070|-0.8291|3.1491|250000|
CLXX|USD|CELEXX CORPORATION|46586688|XXXXXXXT1025|2.0700|0.2500|300|
CLYV|USD|CLYVIA INC|32865307|XXXXXXXK1088|2.0700|0.2500|250000|
CLYW|USD|CALYPSO WIRELESS INC|43669240|XXXXXXX01044|2.0700|0.2500|15000|
CLZNY|USD|CLARIANT AG-UNSPONSORED ADR|54476048|XXXXXXXP1012|2.0700|0.2500|1000|
CM|USD|CAN IMPERIAL BK OF COMMERCE|6607659|CA1360691010|2.0700|0.2500|300000|
CMA|USD|COMERICA INC|5800|XXXXXXX01070|2.0700|0.2500|3900000|
CMAKY|USD|CHINA MINSHENG BANKING-ADR|74072762|XXXXXXXT1060|2.0700|0.2500|300|
CMAUF|USD|CHIBOUGAMAU INDEPENDENT MINE|555181613|CA1671012039|NA|NA|15000|
CMAX|USD|CAREMAX INC|495901062|XXXXXXXW1036|0.8961|1.4239|150000|
CMBM|USD|CAMBIUM NETWORKS CORP|372740695|KYG177661090|1.8281|0.4919|200000|
CMBS|USD|ISHARES CMBS ETF|102436160|XXXXXXXB3666|-9.8010|12.1210|30000|
CMC|USD|COMMERCIAL METALS CO|5811|XXXXXXX31034|2.0691|0.2509|7200000|
CMCA|USD|CAPITALWORKS EMERGING M-CL A|539070025|KYG1889L1005|1.1000|1.2200|350000|
CMCAU|USD|CAPITALWORKS EMERGING MARKET|530091818|KYG1889L1187|-1.1408|3.4608|15000|
CMCI|USD|CHINA MODERN AGRICULTURAL IN|86657625|XXXXXXXR1059|2.0200|0.3000|250000|
CMCL|USD|CALEDONIA MINING CORP PLC|280736050|JE00BF0XVB15|-3.3270|5.6470|200000|
CMCM|USD|CHEETAH MOBILE INC - ADR|150632108|XXXXXXX51048|-9.2507|11.5707|4600000|
CMCO|USD|COLUMBUS MCKINNON CORP-NY|4728198|XXXXXXX31057|2.0583|0.2617|2300000|
CMCSA|USD|COMCAST CORP-CLASS A|267748|XXXXXXXN1019|2.0700|0.2500|>10000000|
CMCT|USD|CREATIVE MEDIA &amp; COMMUNITY T|381624574|XXXXXXX55846|0.8925|1.4275|150000|
CMCTP|USD|CIM COMMERCIAL TRUST COR|297693996|XXXXXXX58576|1.8913|0.4287|400|
CMDA|USD|CHINA MEDIA1 CORP|30210826|XXXXXXX71095|2.0700|0.2500|1900000|
CMDJ|USD|CONSOLIDATED AMERICAN INDUST|75219782|XXXXXXX62021|2.0700|0.2500|350000|
CMDY|USD|ISHARES BLOOMBERG ROLL SELEC|313372942|XXXXXXXW5985|-0.3176|2.6376|55000|
CME|USD|CME GROUP INC|45127739|XXXXXXXQ1058|2.0700|0.2500|7500000|
CMEY|USD|CMONEY INC|77563581|XXXXXXXV1026|2.0700|0.2500|150000|
CMF|USD|ISHARES CALIFORNIA MUNI BOND|46576893|XXXXXXX83569|-7.8324|10.1524|200000|
CMFO|USD|CHINA MARINE FOOD GROUP LTD|48410292|XXXXXXXR1068|-33.0097|35.3297|1200000|
CMFV|USD|COMF5 INTERNATIONAL INC|73967839|XXXXXXXW1036|2.0200|0.3000|150000|
CMG|USD|CHIPOTLE MEXICAN GRILL INC|37655664|XXXXXXX61059|2.0700|0.2500|850000|
CMGHY|USD|CHAODA MODERN-UNSPON ADR|54939994|XXXXXXXT1060|2.0700|0.2500|500|
CMGO|USD|CMG HOLDINGS GROUP INC|49421291|XXXXXXX91019|2.0200|0.3000|950000|
CMGR|USD|CLUBHOUSE MEDIA GROUP INC|466736203|XXXXXXXC1099|-2.4825|4.8025|15000|
CMGR.OLD1|USD|CAMELOT ENTERTAINMENT GROUP|107065302|XXXXXXX38005|2.0700|0.2500|2000|
CMHF|USD|COMMUNITY HERITAGE FINANCIAL|340252061|XXXXXXXL1035|0.3818|1.9382|6000|
CMHZ|USD|BANNY COSMIC INTERNATIONAL H|327653742|XXXXXXXA1060|2.0700|0.2500|15000|
CMI|USD|CUMMINS INC|6207|XXXXXXX11063|1.9769|0.3431|4500000|
CMIM|USD|CHANGMING INDUSTRIAL MANAGEM|370032629|XXXXXXXJ2024|2.0700|0.2500|4000|
CMIT|USD|CMARK INTERNATIONAL INC|37037828|XXXXXXXJ1016|2.0700|0.2500|300000|
CMKI|USD|CMK GAMING INTERNATIONAL INC|247845498|XXXXXXX83039|2.0200|0.3000|30000|
CMKM|USD|CHINA MARKETING MEDIA HOLDIN|72671747|XXXXXXX11055|2.0700|0.2500|4000|
CMKT|USD|CAPITAL MARKETS TECHNOLOGIES INCORPORATED|108572002|XXXXXXXN1046|2.0700|0.2500|30000|
CMLS|USD|CUMULUS MEDIA INC-CL A|320362948|XXXXXXX28015|1.1793|1.1407|400000|
CMMB|USD|CHEMOMAB THERAPEUTICS LTD|476603663|XXXXXXXC1045|2.0700|0.2500|75000|
CMNR|USD|COMMERCE ENERGY GROUP INC|428889313|XXXXXXXQ1067|NA|NA|80000|
CMP|USD|COMPASS MINERALS INTERNATION|27022213|XXXXXXXN1019|1.9119|0.4081|1200000|
CMPD|USD|COMPUMED INC|563578565|XXXXXXX45012|-9.6592|11.9792|30000|
CMPGY|USD|COMPASS GROUP PLC-SPON ADR|279455753|XXXXXXXX4016|-7.6360|9.9560|80000|
CMPO|USD|COMPOSECURE INC|535283345|XXXXXXXV1052|-8.4389|10.7589|30000|
CMPR|USD|CIMPRESS PLC|393993727|IE00BKYC3F77|1.5275|0.7925|850000|
CMPS|USD|COMPASS PATHWAYS PLC|446091350|XXXXXXXW1018|-0.2612|2.5812|100000|
CMPX|USD|COMPASS THERAPEUTICS INC|455229146|XXXXXXXB1044|-7.2105|9.5305|85000|
CMPY|USD|COMEPAY INC|309000494|XXXXXXXM1071|2.0200|0.3000|1000|
CMRA|USD|COMERA LIFE SCIENCES HOLDING|563316591|XXXXXXXC1080|-193.8820|196.2020|25000|
CMRB|USD|FIRST COMMERCE BANK-LAKEWOOD|273257978|XXXXXXXH1068|1.2522|1.0678|4000|
CMRE|USD|COSTAMARE INC|80627441|MHY1771G1026|1.9973|0.3227|6700000|
CMRE PRB|USD|COSTAMARE INC|132521382|MHY1771G1109|2.0700|0.2500|30000|
CMRE PRC|USD|COSTAMARE INC|142893595|MHY1771G1281|-0.4372|2.7572|100000|
CMRE PRD|USD|COSTAMARE INC|193951417|MHY1771G1364|-4.0830|6.4030|150000|
CMRE PRE|USD|CMRE 8 7-8 PERP PFD|304817748|MHY1771G2016|-16.6217|18.9417|200000|
CMRX|USD|CHIMERIX INC|125640789|XXXXXXXW1062|1.9088|0.4112|2500000|
CMRZF|USD|COMMERCE RESOURCES CORP|378892238|CA2006977045|-4.3401|6.6601|3000|
CMS|USD|CMS ENERGY CORP|5840|XXXXXXX61002|2.0700|0.2500|8800000|
CMS PRB|USD|CONSUMERS PWR CO: CMS PRB|2006947|XXXXXXX83048|-1.7121|4.0321|600|
CMS PRC|USD|CMS ENERGY CORP|499478673|XXXXXXX68379|-51.9106|54.2306|10000|
CMSA|USD|CMS 5 5-8 03-15-78 PRD|309630185|XXXXXXX68601|-37.8063|40.1263|6000|
CMSC|USD|CMS ENERGY CORP|335479111|XXXXXXX68528|-7.5031|9.8231|400000|
CMSD|USD|CMS ENERGY CORP|354532825|XXXXXXX68452|-8.3877|10.7077|650000|
CMST|USD|CITYMAINSTREET TECH GROUP HL|308723837|XXXXXXX31074|2.0700|0.2500|100|
CMT|USD|CORE MOLDING TECHNOLOGIES IN|2586558|XXXXXXX31002|0.9967|1.3233|450000|
CMTG|USD|CLAROS MORTGAGE TRUST INC|524305695|XXXXXXXD1063|-10.5249|12.8449|10000|
CMTL|USD|COMTECH TELECOMMUNICATIONS|4728269|XXXXXXX62096|1.3544|0.9656|1600000|
CMTOY|USD|CEMENTOS ARGOS SA-SPON ADR|76203063|XXXXXXX01063|2.0700|0.2500|3000|
CMTV|USD|COMMUNITY BANCORP INC-VT|30209444|XXXXXXXA1016|2.0200|0.3000|100|
CMU|USD|MFS HIGH YIELD MUNICIPAL TRU|45045079|XXXXXXXE1029|-2.4629|4.7829|90000|
CMUV|USD|CMUV BANCORP|218126653|XXXXXXXU1016|2.0200|0.3000|800|
CMWAY|USD|COMMONWEALTH BK AUS-SP ADR|51868415|XXXXXXX26000|-5.4348|7.7548|8000|
CMXC|USD|CELL MEDX CORP|169689407|XXXXXXXX1072|2.0200|0.3000|10000|
CN|USD|XTRACKERS MSCI ALL CHINA EQU|150201295|XXXXXXX17622|0.3206|1.9994|15000|
CNA|USD|CNA FINANCIAL CORP|5862|XXXXXXX71003|2.0700|0.2500|850000|
CNAF|USD|COMMERCIAL NATL FINL CORP-PA|4728284|XXXXXXX71050|2.0200|0.3000|10000|
CNAG|USD|CHINA 9D CONSTRUCTION GROUP|47048693|XXXXXXXW1062|2.0700|0.2500|2100000|
CNBA|USD|CHESTER BANCORP INC|75219978|XXXXXXX31069|2.0700|0.2500|100|
CNBB|USD|CNB COMMUNITY BANCORP INC|294363530|XXXXXXXF1057|2.0700|0.2500|100|
CNBI|USD|CHINA BCT PHARMA GROUP INC|77479480|XXXXXXXM1009|2.0200|0.3000|65000|
CNBN|USD|CNB BANK SHARES INC|346403609|XXXXXXXK1051|2.0700|0.2500|200|
CNBS|USD|AMPLIFY SEYMOUR CANNABIS ETF|375690973|XXXXXXX88546|-8.5832|10.9032|150000|
CNBW|USD|CNB CORP|82376412|XXXXXXXR1059|2.0700|0.2500|600|
CNBX|USD|CNBX PHARMACEUTICALS INC|561209969|XXXXXXXM2098|-2.8073|5.1273|5000|
CNBZ|USD|CNB CORPORATION -MI|30209474|XXXXXXXT1007|2.0700|0.2500|600|
CNC|USD|CENTENE CORP|13878278|XXXXXXXB1017|2.0700|0.2500|>10000000|
CNCC|USD|CANNA CORP|373087152|XXXXXXXP1021|2.0700|0.2500|3000|
CNCE|USD|CONCERT PHARMACEUTICALS INC|144044610|XXXXXXX21056|1.7820|0.5380|2200000|
CNCK|USD|CONTENT CHECKED HOLDINGS INC|182778878|XXXXXXXY1001|2.0200|0.3000|20000|
CNCM|USD|CONNECTED MEDIA TECHNOLGIES|32584213|XXXXXXXR1077|2.0700|0.2500|>10000000|
CNCR|USD|LONCAR CANCER IMMUNOTHERAPY|209471722|XXXXXXXA8264|0.2123|2.1077|25000|
CNCT|USD|CHINA TELETECH HOLDING INC|104754237|XXXXXXXV1061|2.0200|0.3000|50000|
CND|USD|CONCORD ACQUISITION CORP -A|467293052|XXXXXXX11023|-0.5276|2.8476|1600000|
CND U|USD|CONCORD ACQUISITION CORP|459309414|XXXXXXX12013|0.9836|1.3364|2000|
CNDA|USD|CONCORD ACQUISITION CORP -A|520534362|XXXXXXXU1088|1.0242|1.2958|55000|
CNDA U|USD|CONCORD ACQUISITION CORP II|511815098|XXXXXXXU2078|1.0242|1.2958|10000|
CNDB|USD|CONCORD ACQUISITION CORP -A|534251483|XXXXXXXV1061|-9.4129|11.7329|500000|
CNDB U|USD|CONCORD ACQUISITION CORP III|524517620|XXXXXXXV2051|1.1000|1.2200|1000|
CNDD|USD|CONCORDE AMERICA INC|75219425|XXXXXXXN1000|2.0700|0.2500|200000|
CNDT|USD|CONDUENT INC|257848393|XXXXXXX71036|1.9110|0.4090|>10000000|
CNEP|USD|CHINA NORTH EAST PETROLEUM|30411946|XXXXXXXG1022|-1.3795|3.6995|45000|
CNER|USD|CHINA NEW ENERGY GROUP CO|51635646|XXXXXXXP1093|2.0700|0.2500|150000|
CNET|USD|ZW DATA ACTION TECHNOLOGIES|449867368|XXXXXXXR1095|-26.5828|28.9028|950000|
CNEX|USD|CANNON EXPLORATION INC|50263308|XXXXXXX31077|2.0700|0.2500|>10000000|
CNEY|USD|CN ENERGY GROUP INC|469692615|VGG2181K1057|-36.1346|38.4546|450000|
CNF|USD|CNFINANCE HOLDINGS LTD|340341148|XXXXXXXT1051|-0.9836|3.3036|3000000|
CNFN|USD|CFN ENTERPRISES INC|531183591|XXXXXXXC2098|2.0700|0.2500|25000|
CNFR|USD|CONIFER HOLDINGS INC|202968421|XXXXXXXJ1025|-61.2886|63.6086|25000|
CNFRL|USD|CONIFER HOLDINGS INC|337611953|XXXXXXXJ2015|1.3495|0.9705|15000|
CNGA|USD|CONAIR CORP-NEW YORK|75219090|XXXXXXX81002|2.0200|0.3000|15000|
CNGI|USD|CONCORDIS GROUP INC|180237251|XXXXXXX12034|2.0700|0.2500|8000|
CNGL|USD|CANNA-GLOBAL ACQUISITIO-CL A|538837875|XXXXXXXK1016|-0.6844|3.0044|600000|
CNGLU|USD|CANNA-GLOBAL ACQUISITION COR|529413147|XXXXXXXK2006|-2.9219|5.2419|1000|
CNGT|USD|CANNAGISTICS INC|366378330|XXXXXXXH1086|2.0200|0.3000|900000|
CNHC|USD|CHINA HEALTH MANAGEMENT CORP|48060535|XXXXXXXU2042|2.0700|0.2500|100000|
CNHI|USD|CNH INDUSTRIAL NV|135330258|NL0010545661|2.0118|0.3082|700000|
CNI|USD|CANADIAN NATL RAILWAY CO|4457163|CA1363751027|1.9119|0.4081|700000|
CNK|USD|CINEMARK HOLDINGS INC|43739720|XXXXXXXV1026|2.0700|0.2500|1200000|
CNLG|USD|CONOLOG CORP|58297782|XXXXXXX48627|2.0700|0.2500|150000|
CNLK|USD|CANNALINK INC|166265866|XXXXXXXB1035|2.0200|0.3000|1000|
CNLPL|USD|CONN LT PWR $3.24|30209509|XXXXXXX77098|2.0700|0.2500|100|
CNLPM|USD|CONN LT PWR $2.06|30209514|XXXXXXX75019|2.0700|0.2500|1000|
CNLTL|USD|CONN LT &amp; PWR|84951690|XXXXXXX72040|2.0700|0.2500|100|
CNLTN|USD|CONN LT PWR $2.00|30209519|XXXXXXX73030|2.0700|0.2500|4000|
CNM|USD|CORE &amp; MAIN INC-CLASS A|504091781|XXXXXXXC1027|2.0512|0.2688|2000000|
CNMD|USD|CONMED CORP|267819|XXXXXXX01013|2.0514|0.2686|1000000|
CNMXF|USD|CANAMEX GOLD CORP|295404129|CA13711B1085|2.0700|0.2500|6000|
CNNA|USD|CANN AMERICAN CORP|455196513|XXXXXXXN2071|-1.1835|3.5035|2300000|
CNNB|USD|CINCINNATI BANCORP INC|400880848|XXXXXXXC1027|-7.3991|9.7191|20000|
CNNC|USD|CANNONAU CORP|400863400|XXXXXXXL1098|2.0200|0.3000|45000|
CNNE|USD|CANNAE HOLDINGS INC|296044427|XXXXXXXN1072|1.9119|0.4081|2300000|
CNNEF|USD|CANACOL ENERGY LTD|118971694|CA1348082035|-1.6694|3.9894|45000|
CNNXF|USD|CANNAMERICA BRANDS CORP|348718237|CA13766C1005|-9.5363|11.8563|150000|
CNO|USD|CNO FINANCIAL GROUP INC|75176372|XXXXXXXE1038|1.9938|0.3262|6000000|
CNO PRA|USD|CNO FINANCIAL GROUP INC|458022289|XXXXXXXE3018|-14.5025|16.8225|10000|
CNOA|USD|CHINA ORGANIC AGRICULTURE IN|45071400|XXXXXXXA1034|2.0700|0.2500|400000|
CNOB|USD|CONNECTONE BANCORP INC|159120379|XXXXXXXW1071|1.8964|0.4236|2900000|
CNONF|USD|LYNX GLOBAL DIGITAL FINANCE|482845210|CA55183P1071|1.4159|0.9041|4000|
CNOZ|USD|CONO ITALIANO INC|65090993|XXXXXXXT1088|2.0200|0.3000|1300000|
CNP|USD|CENTERPOINT ENERGY INC|8093|XXXXXXXT1079|2.0697|0.2503|>10000000|
CNPOF|USD|RIV CAPITAL INC|473308568|CA7680141024|-31.2433|33.5633|500000|
CNPWM|USD|CONN LIGHT &amp; POWER|84951680|XXXXXXX76264|2.0700|0.2500|300|
CNPWP|USD|CONN LT PWR $2.04|30209534|XXXXXXX74020|2.0700|0.2500|2000|
CNQ|USD|CANADIAN NATURAL RESOURCES|11926119|CA1363851017|1.8756|0.4444|1700000|
CNRD|USD|CONRAD INDUSTRIES INC|4728369|XXXXXXX51027|0.6027|1.7173|20000|
CNRG|USD|SPDR S&amp;P KENSHO CLEAN POWER|338719513|XXXXXXXR6559|-4.8243|7.1443|15000|
CNS|USD|COHEN &amp; STEERS INC|30350975|XXXXXXXA1007|1.8632|0.4568|1700000|
CNSC.OLD1|USD|CENTERSTAGING CORP +|132800453|XXXXXXXT1016|2.0700|0.2500|30000|
CNSL|USD|CONSOLIDATED COMMUNICATIONS|35128548|XXXXXXX41072|1.8621|0.4579|4500000|
CNSP|USD|CNS PHARMACEUTICALS INC|390879673|XXXXXXXH1023|-45.9214|48.2414|800000|
CNSUF|USD|CANASIL RESOURCES|75216977|CA13723D1006|0.1728|2.1472|200|
CNTA|USD|CENTESSA PHARMACEUTICALS-ADR|494184555|XXXXXXX91007|1.5997|0.7203|50000|
CNTB|USD|CONNECT BIOPHARMA HOLDINGS L|477811934|XXXXXXX31017|-4.5134|6.8334|300000|
CNTFY|USD|CHINA TECHFAITH WIRELESS-ADR|224225731|XXXXXXX42074|-1.3427|3.6627|750000|
CNTG|USD|CENTOGENE NV|390616585|NL0014040206|-2.9716|5.2916|35000|
CNTHN|USD|CONN LT &amp; PWR|84951679|XXXXXXX77908|2.0700|0.2500|100|
CNTHO|USD|CONN LT &amp; PWR|84951674|XXXXXXX77825|2.0700|0.2500|300|
CNTHP|USD|CONN LT &amp; PWR|84951695|XXXXXXX77742|0.2123|2.1077|2000|
CNTO|USD|CENTOR ENERGY INC|141221966|XXXXXXXP1093|2.0200|0.3000|100000|
CNTQ|USD|CHARDAN NEXTECH ACQUISITION|509950662|XXXXXXX11096|0.8889|1.4311|400|
CNTQU|USD|CHARDAN NEXTECH ACQUISITION|506295822|XXXXXXX12086|-0.5996|2.9196|8000|
CNTRF|USD|CENTR BRANDS CORP|414539916|CA15234A1030|0.7650|1.5550|80000|
CNTTQ|USD|CANNTRUST HOLDINGS INC|353035960|CA1378002077|-98.4945|100.8145|20000|
CNTX|USD|CONTEXT THERAPEUTICS LLC|505002175|XXXXXXXP1084|-60.6797|62.9997|400000|
CNTY|USD|CENTURY CASINOS INC|4728396|XXXXXXX21005|1.0892|1.2308|1100000|
CNVT|USD|CVF TECHNOLOGIES CORP|6604313|XXXXXXXF1021|2.0700|0.2500|80000|
CNVY|USD|CONVEY HEALTH SOLUTIONS HOLD|496879068|XXXXXXXC1080|0.9384|1.3816|300000|
CNWD|USD|CHINA WOOD INC|80946549|XXXXXXXF1012|2.0700|0.2500|35000|
CNWHF|USD|CHINA NETWORKS INTERNATIONAL|61294172|VGG211251027|2.0200|0.3000|25000|
CNWT|USD|CISTERA NETWORKS INC|75215894|XXXXXXXQ2021|2.0700|0.2500|65000|
CNX|USD|CNX RESOURCES CORP|295296295|XXXXXXXC1080|2.0700|0.2500|>10000000|
CNXA|USD|CONNEXA SPORTS TECHNOLOGIES|566187200|XXXXXXX52009|-10.3605|12.6805|15000|
CNXC|USD|CONCENTRIX CORP|455425136|XXXXXXXD1019|1.9768|0.3432|1900000|
CNXN|USD|PC CONNECTION INC|4816283|XXXXXXXJ1007|0.7536|1.5664|1400000|
CNXS|USD|CONNEXUS CORP|179685750|XXXXXXX61014|2.0200|0.3000|>10000000|
CNXT|USD|VANECK CHINEXT ETF|229725573|XXXXXXXF6271|-11.0586|13.3786|30000|
CNYA|USD|ISHARES MSCI CHINA A ETF|236798096|XXXXXXXV5140|-3.5765|5.8965|150000|
CO|USD|GLOBAL CORD BLOOD CORP|309790398|KYG393421030|-1.4115|3.7315|700000|
COCBF|USD|COASTAL CARIBBEAN OIL &amp; MINL|30209549|BM1904322038|2.0700|0.2500|350000|
COCM|USD|COMERTON CORP|295292264|XXXXXXXU1097|2.0200|0.3000|1000|
COCO|USD|VITA COCO CO INC-THE|522320539|XXXXXXXQ1076|0.5495|1.7705|100000|
COCP|USD|COCRYSTAL PHARMA INC|304144057|XXXXXXXJ3005|-1.6150|3.9350|2200000|
CODA|USD|CODA OCTOPUS GROUP INC|261987426|XXXXXXXU2069|-0.8299|3.1499|100000|
CODI|USD|COMPASS DIVERSIFIED HOLDINGS|39126011|XXXXXXXQ1040|0.7519|1.5681|150000|
CODI PRA|USD|COMPASS DIVERSIF HOLDING|281316191|XXXXXXXQ2030|-59.9483|62.2683|65000|
CODI PRB|USD|COMPASS DIVERSIF HOLDING|309787158|XXXXXXXQ3020|-17.1022|19.4222|20000|
CODI PRC|USD|COMPASS DIVERSIF HOLDING|391511574|XXXXXXXQ4010|-1.6821|4.0021|30000|
CODX|USD|CO-DIAGNOSTICS INC|280904395|XXXXXXX31057|0.1222|2.1978|1500000|
CODYY|USD|COMPAGNIE DE SAINT-UNSP ADR|56347293|XXXXXXX03096|-25.3894|27.7094|350000|
COE|USD|CHINA ONLINE EDUCATION-ADR|236205572|XXXXXXXL1052|-2.7740|5.0940|1000000|
COEP|USD|COEPTIS THERAPEUTICS INC|501784923|XXXXXXXC1045|0.1493|2.1707|3000|
COF|USD|CAPITAL ONE FINANCIAL CORP|5941|XXXXXXXH1059|2.0700|0.2500|>10000000|
COF PRI|USD|CAPITAL ONE FINANCIAL CO|382181602|XXXXXXXH8245|-1.8796|4.1996|500|
COF PRJ|USD|CAPITAL ONE FINANCIAL CO|401781713|XXXXXXXH7825|-10.7483|13.0683|50000|
COF PRK|USD|CAPITAL ONE FINANCIAL CO|445554623|XXXXXXXH7742|-66.8310|69.1510|400|
COF PRL|USD|CAPITAL ONE FINANCIAL CO|489134071|XXXXXXXH7585|-25.8089|28.1289|1000|
COF PRN|USD|CAPITAL ONE FINANCIAL CO|505002213|XXXXXXXH7338|-31.8796|34.1996|25000|
COFE|USD|CAFE HOLDINGS INC|434675973|XXXXXXXL1061|2.0200|0.3000|8000|
COFS|USD|CHOICEONE FINANCIAL SVCS INC|30209561|XXXXXXX61062|-1.1835|3.5035|20000|
COGNY|USD|COGNA EDUCACAO SA|397580896|XXXXXXXN1063|-31.7222|34.0422|100000|
